gen,currentPointFitness,bestNeighbourUCB,bestOfSampled,1-tupleCoverage,2-tupleCoverage,3-tupleCoverage,4-tupleCoverage,5-tupleCoverage
1,10.738477175972662,13.061192915703728,10.738477175972662,20.0,4.0,0.8,0.16,0.032
2,14.05378388373688,16.97797341189556,14.000311194901972,36.0,8.0,1.6,0.32,0.064
3,10.456066401139442,16.79521650784388,13.942283493569757,52.0,12.0,2.4,0.48,0.096
4,9.559044047982367,16.731078263990824,13.478320701997214,60.0,14.799999999999999,3.12,0.64,0.128
5,10.676958239513924,16.312413991200174,13.357246157276625,72.0,18.4,3.92,0.8,0.16
6,14.825400242953014,18.137653464235477,14.547865396864854,80.0,21.2,4.64,0.96,0.192
7,11.95313132092505,17.05340029998746,14.259801019088256,88.0,24.0,5.36,1.1199999999999999,0.22399999999999998
8,11.193273448170755,16.625317895309944,13.70469188897124,92.0,25.599999999999998,5.840000000000001,1.248,0.256
9,18.3927695926469,19.944780360671803,16.773706692464447,96.0,27.2,6.32,1.376,0.28800000000000003
10,19.259370411382235,21.191119794531527,18.368466968926047,100.0,28.799999999999997,6.800000000000001,1.504,0.32
11,16.09878526216157,20.56475582907786,17.844890135481183,100.0,30.4,7.28,1.6320000000000001,0.35200000000000004
12,17.33932475521827,20.29535258967607,17.695750119007425,100.0,32.0,7.759999999999999,1.76,0.384
13,14.116409174012134,19.811541385872395,17.155328051950853,100.0,33.60000000000001,8.24,1.888,0.416
14,14.226974303474197,19.500478884164576,17.026058128380537,100.0,35.2,8.719999999999999,2.016,0.44799999999999995
15,15.712722359243779,19.257130451461137,16.891375848630005,100.0,36.800000000000004,9.2,2.1439999999999997,0.48
16,14.239106482492865,18.854739933256653,16.818443152152188,100.0,38.4,9.680000000000001,2.272,0.512
17,14.281539859642773,18.81654409454039,16.644540049912884,100.0,39.6,10.16,2.4,0.544
18,9.702597680402011,18.45550114956406,16.59954978878379,100.0,41.599999999999994,10.799999999999999,2.5599999999999996,0.5760000000000001
19,15.473906032972108,18.582882106456548,16.59357473680999,100.0,43.99999999999999,11.52,2.7199999999999998,0.608
20,13.091404342820333,18.32853746677309,16.56434711850559,100.0,45.6,12.000000000000002,2.848,0.64
21,14.272936790575113,18.732815045852504,16.383056172153697,100.0,46.0,12.24,2.944,0.672
22,15.201202197261267,18.71136720689499,16.367479730475505,100.0,47.2,12.72,3.072,0.7040000000000001
23,19.653228040309312,20.47429290432617,17.927279921212506,100.0,48.800000000000004,13.200000000000003,3.2,0.736
24,18.925037505065593,21.13786656920539,18.08964416126963,100.0,49.6,13.600000000000001,3.328,0.768
25,18.814532125739127,21.41036122645696,18.319540060941957,100.0,51.199999999999996,14.080000000000002,3.456,0.8
26,13.0151303536416,20.133327199567677,17.8927620088853,100.0,52.800000000000004,14.56,3.5839999999999996,0.832
27,14.995644676186346,20.040557307819697,17.79371320090941,100.0,54.0,15.04,3.7119999999999997,0.864
28,15.613124420286729,19.705246369413437,17.77543320526586,100.0,55.6,15.520000000000001,3.84,0.8959999999999999
29,16.229992069255292,20.19635523280362,17.764601005794297,100.0,56.800000000000004,15.999999999999996,3.968,0.928
30,18.46745484286653,20.392878030919192,17.780186560682797,100.0,58.0,16.479999999999997,4.096,0.96
31,15.721478196513866,19.78226400193691,17.751996233344393,100.0,58.800000000000004,16.96,4.224,0.992
32,14.000599716238954,19.485415651409507,17.725701562372723,100.0,59.6,17.439999999999998,4.352,1.024
33,17.344597142692276,20.026772235641026,17.718303882271606,100.0,60.8,17.919999999999998,4.4799999999999995,1.056
34,15.243582875037845,19.70165661127782,17.36614254749373,100.0,61.2,18.159999999999997,4.576,1.088
35,13.795331683419558,19.398217949340708,17.347634400505584,100.0,62.400000000000006,18.639999999999997,4.704,1.1199999999999999
36,12.861704848574956,19.33455344038909,17.343129187860555,100.0,64.0,19.28,4.864,1.1520000000000001
37,10.565852371897178,19.18625108611942,17.309767981752533,100.0,65.19999999999999,19.839999999999996,5.024,1.184
38,18.03376845781296,19.54865294776586,17.319176640439718,100.0,66.0,20.32,5.151999999999999,1.216
39,17.681202277872735,19.54658541122203,17.280457530792944,100.0,66.4,20.639999999999997,5.279999999999999,1.248
40,14.295569875592077,19.743532737264008,17.211345845487596,100.0,67.2,21.120000000000005,5.408,1.28
41,12.488772098342157,19.21749991960616,17.206048541811715,100.0,68.8,21.759999999999998,5.568,1.312
42,13.638179690242525,18.991285082027243,17.1871602663645,100.0,69.19999999999999,22.000000000000004,5.664,1.344
43,18.757634182542546,19.728650773382356,17.330303126639073,100.0,69.19999999999999,22.32,5.792,1.376
44,13.890726599191831,19.12493834069608,17.179860439290348,100.0,69.6,22.720000000000006,5.919999999999999,1.4080000000000001
45,15.349539379418824,19.043005709869067,17.146425988576155,100.0,70.0,23.12,6.048,1.44
46,16.99476816872023,18.91492689535148,17.15169468052492,100.0,70.4,23.360000000000003,6.143999999999999,1.472
47,17.205205793165007,19.02893934537832,17.15619684844813,100.0,70.8,23.68,6.272,1.504
48,12.55426497156155,18.956457944858347,17.15219803892752,100.0,71.2,24.08,6.4,1.536
49,8.841112431976365,18.646500449169196,17.144207033151943,100.0,72.8,24.720000000000002,6.5600000000000005,1.568
50,16.350000555689867,19.13400186179782,17.144307421665427,100.0,73.60000000000001,25.12,6.688,1.6
51,10.2975976160444,18.668570918122708,17.136063091974364,100.0,74.8,25.600000000000005,6.816,1.6320000000000001
52,8.741098952106015,18.883198818691255,17.12635263293815,100.0,76.8,26.32,6.976,1.664
53,14.41974938741295,18.69380572866906,17.077524582713384,100.0,76.8,26.720000000000006,7.104,1.696
54,14.48496107876456,18.711963645346284,17.041390521280753,100.0,77.19999999999999,27.12,7.231999999999999,1.728
55,15.604139949627257,18.69408568162787,17.021934441341187,100.0,77.6,27.68,7.3919999999999995,1.76
56,15.06579963333873,18.61298942854118,17.017569523278336,100.0,78.4,28.160000000000004,7.552,1.7919999999999998
57,9.828942262818492,18.6925240188737,17.010577000983115,100.0,79.6,28.88,7.712,1.8239999999999998
58,17.674478756797466,19.05095792263071,17.01809164987578,100.0,79.99999999999999,29.279999999999998,7.84,1.856
59,11.779993429870677,18.578448000102792,16.999553225288352,100.0,80.79999999999998,29.679999999999996,7.968,1.8880000000000001
60,15.535280400600076,18.636820408289555,16.946614221906287,100.0,80.79999999999998,29.92,8.064,1.92
61,11.751332344145089,18.33042331898751,16.942512767141608,100.0,81.6,30.479999999999997,8.224,1.952
62,14.670548207952473,18.556726524220824,16.9366864555025,100.0,82.0,30.799999999999997,8.352,1.984
63,14.784768834506883,18.50086815467905,16.913092894155408,100.0,82.4,31.2,8.48,2.016
64,15.615653223560205,18.390873034167697,16.897781218095265,100.0,82.8,31.6,8.608,2.048
65,14.183834492676217,18.287583454993207,16.870980193707435,100.0,83.2,31.84,8.736,2.08
66,12.845022867047598,18.42440679564146,16.860311994784308,100.0,84.0,32.4,8.896,2.112
67,18.505337467704745,19.047803295394864,16.894970911220064,100.0,84.0,32.64,9.024,2.144
68,14.173531511447552,18.773049497100875,16.88417249183041,100.0,84.8,33.199999999999996,9.184,2.176
69,16.790787604697027,18.606775175742573,16.885718945258088,100.0,84.8,33.199999999999996,9.184,2.176
70,14.109663891010133,18.49885774980338,16.87663716797845,100.0,85.2,33.6,9.312,2.2079999999999997
71,14.979008244888337,18.49549683290509,16.87663716797845,100.0,85.6,34.08,9.472,2.2399999999999998
72,8.610089339272612,18.214371454769342,16.87663716797845,100.0,86.80000000000001,34.8,9.632,2.2720000000000002
73,13.878446106649676,18.348331219251,16.867635634319456,100.0,87.2,35.199999999999996,9.76,2.3040000000000003
74,14.913874345477907,18.262405314800777,16.8631564058925,100.0,87.60000000000001,35.68000000000001,9.92,2.336
75,7.333766404227024,18.22148274358564,16.855372547231394,100.0,90.0,36.480000000000004,10.08,2.368
76,11.735905421174545,18.163680445331742,16.85133656354876,100.0,90.80000000000001,37.12,10.24,2.4
77,13.180311304106082,18.388894358600375,16.849428028671202,100.0,91.2,37.76,10.4,2.432
78,18.383401212280315,18.37452937519814,16.947861399574585,100.0,91.2,37.76,10.4,2.432
79,19.007830538418443,18.696352191199086,17.025077373677668,100.0,91.2,37.84,10.464,2.464
80,17.80364070019865,18.618048250383413,17.040328231591257,100.0,91.2,38.0,10.592,2.496
81,19.25216935783776,18.689466346532026,17.229427667327787,100.0,91.2,38.0,10.592,2.496
82,19.3906304094735,18.86384010034529,17.327580099373673,100.0,91.2,38.0,10.592,2.496
83,14.413627065991982,18.690514383949427,17.26963802716694,100.0,91.2,38.400000000000006,10.72,2.528
84,19.78798099261446,18.661326042810213,17.493452621418818,100.0,91.2,38.400000000000006,10.72,2.528
85,18.10878369476413,18.811509326137713,17.514108546181397,100.0,91.2,38.64,10.848,2.56
86,18.888560894489316,18.844230356351005,17.59002502040105,100.0,91.2,38.64,10.848,2.56
87,15.881389327888046,18.745680126122117,17.537975698872618,100.0,91.2,38.64,10.848,2.56
88,19.883739978418927,18.819972564656467,17.69088606299952,100.0,91.2,38.64,10.848,2.56
89,15.652483384674326,18.742165676302196,17.612256023670437,100.0,91.2,38.88,10.944,2.5919999999999996
90,17.910080185287214,18.66395050244828,17.59973468601103,100.0,91.2,38.88,10.944,2.5919999999999996
91,16.52672175945194,18.659664320160022,17.56731626633283,100.0,91.2,38.96,11.008000000000001,2.624
92,19.94419925236819,18.843385627009503,17.62651947581782,100.0,91.2,38.96,11.008000000000001,2.624
93,14.399363845907045,18.60065817872214,17.59747725483359,100.0,91.2,39.2,11.104000000000001,2.656
94,15.856983282644169,18.541481935350397,17.594264667085998,100.0,91.2,39.599999999999994,11.264,2.688
95,11.55472609584517,18.418547569491082,17.57663754261754,100.0,92.0,40.16,11.424,2.7199999999999998
96,18.70505638624315,18.70677394327619,17.606812828998663,100.0,92.0,40.32000000000001,11.552,2.752
97,15.423717568885692,18.535390589149635,17.588372443504586,100.0,92.0,40.64,11.68,2.784
98,16.619863339018078,18.6146981148041,17.582617558520173,100.0,92.0,40.720000000000006,11.744,2.8160000000000003
99,18.189404368688923,18.58848066098509,17.59456069936647,100.0,92.0,40.720000000000006,11.744,2.8160000000000003
100,18.60540415536805,18.619278965932672,17.613749402664975,100.0,92.0,40.720000000000006,11.744,2.8160000000000003
101,19.968818959610758,18.640687734757474,17.659302368183518,100.0,92.0,40.720000000000006,11.744,2.8160000000000003
102,19.38473065818849,18.764279363579927,17.733069440071983,100.0,92.0,40.720000000000006,11.744,2.8160000000000003
103,19.852968091866074,18.716618816996142,17.770122233110026,100.0,92.0,40.720000000000006,11.744,2.8160000000000003
104,18.77036220001648,18.853803623543957,17.80363233499479,100.0,92.0,40.720000000000006,11.744,2.8160000000000003
105,19.903096768097026,18.733613095315537,17.853462644316593,100.0,92.0,40.720000000000006,11.744,2.8160000000000003
106,18.53353002287878,18.92051949369404,17.867492678589205,100.0,92.0,40.720000000000006,11.808,2.848
107,20.47299150873185,18.819291249546215,18.00044445304682,100.0,92.0,40.720000000000006,11.808,2.848
108,19.4418024529173,18.8030100400775,18.03161015307731,100.0,92.0,40.720000000000006,11.808,2.848
109,20.116402144266743,19.05916987418811,18.06264595214728,100.0,92.0,40.720000000000006,11.808,2.848
110,18.42919584089721,18.869229759045346,18.055254513573843,100.0,92.0,40.720000000000006,11.808,2.848
111,18.400025657646186,18.743224108628866,18.059576082077676,100.0,92.0,40.720000000000006,11.808,2.848
112,16.08643953195291,18.856204504215803,18.051318282037787,100.0,92.0,40.720000000000006,11.808,2.848
113,19.786259901305847,19.034002263132848,18.08482635787043,100.0,92.0,40.720000000000006,11.808,2.848
114,18.546711371778816,18.967387258282823,18.08597531392878,100.0,92.0,40.720000000000006,11.808,2.848
115,18.30096947076871,19.00208440573841,18.088220942750322,100.0,92.0,40.720000000000006,11.808,2.848
116,19.29605565943499,18.92188230086211,18.126214556979114,100.0,92.0,40.720000000000006,11.808,2.848
117,19.417527812933407,19.030221719666127,18.146924895811274,100.0,92.0,40.720000000000006,11.808,2.848
118,19.050257125755866,18.981129313458933,18.17011003469886,100.0,92.0,40.720000000000006,11.808,2.848
119,18.6825965310872,19.03363129938069,18.17722702671159,100.0,92.0,40.720000000000006,11.808,2.848
120,19.81329334641009,18.98824342669666,18.229396298204747,100.0,92.0,40.720000000000006,11.808,2.848
121,19.71923605874858,19.082740608339474,18.250302038321877,100.0,92.0,40.720000000000006,11.808,2.848
122,19.236899539629917,19.030155962444503,18.27527439186479,100.0,92.0,40.720000000000006,11.808,2.848
123,18.10211130973339,19.08991885983973,18.275982467462974,100.0,92.0,40.800000000000004,11.904,2.88
124,21.446917197128723,19.082257923176893,18.378647069902524,100.0,92.0,40.800000000000004,11.904,2.88
125,18.26173522373582,19.008111841581012,18.37695102165296,100.0,92.0,40.800000000000004,11.904,2.88
126,16.86578972997156,18.823803500810918,18.375814216081533,100.0,92.0,41.120000000000005,12.032,2.912
127,18.00504908909834,19.158592161806283,18.37014019168083,100.0,92.0,41.120000000000005,12.032,2.944
128,19.07832650577181,18.932425106227313,18.383378868895804,100.0,92.0,41.120000000000005,12.032,2.944
129,20.57708213034412,19.178471824495,18.406932393046024,100.0,92.0,41.120000000000005,12.032,2.944
130,21.55908473910078,19.08258225993836,18.497990151846277,100.0,92.0,41.120000000000005,12.032,2.944
131,20.658295045276333,19.278124142490274,18.52312158272555,100.0,92.0,41.120000000000005,12.032,2.944
132,20.624698101140527,19.19591138194025,18.578063967984423,100.0,92.0,41.120000000000005,12.032,2.944
133,18.443381834818457,19.31642208278216,18.57669869044109,100.0,92.0,41.120000000000005,12.032,2.944
134,21.22869549288279,19.082412840580027,18.645277122375628,100.0,92.0,41.120000000000005,12.032,2.944
